<METADATA>
<File Name> ./SiouxFalls/SiouxFalls_COL_0.00_0.00_100.00_route.txt
<Number of Pairs> 576
<Number of Zones> 24
<theta | lambda> 0.000000 | 0.000000
<stoch | determ> 0.000000 | 0.000000
<distant tolerance> 100.000000
<optimal objective> 7208489.647325
<system cost> 7208489.647325

<ROUTES>
<PATHS>
~ Origin | Destination | Flow | Cost



 1	6.033
 1	4.157
 1	11.330
 1	15.323
 1	23.017
 2	111.205
 1	89.942
 1	50.986
 3	67.293
 2	28.384
 1	8.555
 1	11.831
 2	74.983
 4	113.619
 3	118.031
 4	122.060
 2	113.573
 4	122.055
 2	119.418
 1	110.165
 2	120.887
 1	81.601
 1	71.633
 1	6.033
 1	10.190
 1	17.363
 1	21.356
 1	16.984
 1	105.167
 1	83.909
 1	57.019
 3	73.327
 2	34.417
 1	14.588
 1	17.865
 3	84.092
 4	119.541
 2	111.994
 4	128.128
 2	128.074
 2	113.387
 3	127.054
 1	4.157
 1	10.190
 1	7.173
 1	11.166
 2	27.142
 4	115.255
 3	94.008
 1	46.829
 3	63.136
 2	24.227
 1	4.398
 1	7.674
 2	70.826
 4	109.462
 7	122.145
 3	117.886
 2	116.730
 1	77.444
 1	11.330
 1	17.363
 1	7.173
 1	3.993
 1	19.925
 3	108.041
 2	86.777
 1	39.656
 2	55.999
 1	17.042
 1	11.571
 1	14.847
 2	63.666
 3	102.315
 5	114.951
 2	110.748
 3	110.410
 3	110.769
 3	116.255
 2	113.190
 5	123.982
 2	84.665
 1	74.649
 1	15.368
 1	21.401
 1	11.211
 1	4.038
 1	15.932
 2	104.043
 2	82.784
 1	35.663
 2	51.960
 1	21.080
 1	15.609
 1	18.886
 2	67.704
 2	98.171
 5	110.959
 2	106.710
 2	106.718
 3	112.263
 3	117.262
 2	120.843
 2	88.703
 1	23.012
 1	16.978
 2	27.254
 1	20.213
 1	16.175
 1	88.183
 1	66.924
 1	51.837
 3	69.442
 1	37.255
 2	31.652
 2	34.929
 2	83.879
 3	117.801
 2	95.010
 3	122.405
 1	90.553
 4	125.126
 1	96.400
 2	114.794
 2	115.691
 3	104.672
 3	94.785
 2	112.216
 1	106.178
 4	116.548
 3	109.459
 2	105.416
 1	89.200
 1	21.559
 1	69.389
 3	83.107
 3	122.918
